OBJECTID,groupname,grouptypename,typeid,Name,Address,Telephone,Website,Parking,DisabilityAccess,SummaryActivities,SDCC_Owned,SourceFunding,Playground,AdultExerciseEquipment,RoseGarden,FairyWood,PetFarm,CycleTrack,Allotments,CaravanPark,Sports_PlayingPitches,SensoryGarden,OutdoorGym,CCTV,Fishery,created_user,created_date,last_edited_user,last_edited_date,OpeningHours,ShapeSTArea
727,Clondalkin Park and Pitches 47-48-49-50,Neighbourhood Park,17,Clondalkin Park," Clondalkin, Dublin 22",01-4149000,www.sdcc.ie,Yes,Yes,,Yes,,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,,,Esri_Anonymous,2016/03/01 14:47:53+00,,167088.7626
1049,Clondalkin Skate Park,Skate Park,22,Clondalkin Skate Park,"Old Nangor Rd, Clondalkin, Dublin 22",01-4149000,www.sdcc.ie,Yes,Yes,,Yes,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Esri_Anonymous,2016/02/05 13:10:35+00,,789.3983675
663,Collinstown Park and Pitches 31-32-33-34-163,Neighbourhood Park,17,Collinstown Park,"Clondalkin, Dublin 22",01-4149000,www.sdcc.ie,No,Yes,,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,Esri_Anonymous,2016/03/01 14:48:05+00,,204988.3889
701,Corkagh Park and Pitches 51-52-53-54-55-56-57-58-59-60-61-62-63,Regional Park,16,Corkagh Park,"Clondalkin, Dublin 22",01-4149000,www.sdcc.ie,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,,,Esri_Anonymous,2016/02/05 16:15:06+00,"November, December & January – 10.00am - 5.00pm - February & March - 10.00am -6.00pm - April & October - 10.00am - 7.00pm - May & September - 10.00am -8.00pm - June, July & August - 10.00am - 9.00pm",1369075.651
1145,Delaford Open Space and Pitch 116,Open Space Incorporating Pitches,27,Delaford Open Space ,"Knocklyon, Co Dublin",01-4149000,www.sdcc.ie,No,Yes,,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,Esri_Anonymous,2016/04/08 10:38:04+00,,18043.75752
725,Dodder Valley Park Cherryfield and Pitches 113-113A-114-115,Regional Park,16,Dodder Valley Park Cherryfield,Templeogue,01-4149000,www.sdcc.ie,Yes,Yes,,Yes,,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,,,Esri_Anonymous,2016/04/08 10:37:01+00,"November, December & January – 10.00am - 5.00pm - February & March - 10.00am -- 6.00pm - April & October - 10.00am - 7.00pm - May & September - 10.00am -8.00pm - June, July & August - 10.00am - 9.00pm",452727.7428
724,Dodder Valley Park - Firhouse to Mount Carmel,Regional Park,16,Dodder Valley Park Firhouse ,"Tallaght, Dublin 24",01-4149000,www.sdcc.ie,No,Yes,,Yes,,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,,,Esri_Anonymous,2016/02/05 10:39:25+00,"November, December & January – 10.00am - 5.00pm - February & March - 10.00am -6.00pm - April & October - 10.00am - 7.00pm - May & September - 10.00am -8.00pm - June, July & August - 10.00am - 9.00pm",443861.9421
733,Dodder Valley Park Kilvere,Regional Park,16,Dodder Valley Park Kilvere,"Rathfarnham, Dublin 14",01-4149000,www.sdcc.ie,No,Yes,,Yes,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Esri_Anonymous,2016/02/05 10:39:41+00,"November, December & January – 10.00am - 5.00pm - February & March - 10.00am -6.00pm - April & October - 10.00am - 7.00pm - May & September - 10.00am -8.00pm - June, July & August - 10.00am - 9.00pm",88123.20325
1173,Dodder Valley Park Old Bawn and Pitches 96-97-98-99-100,Regional Park,16,Dodder Valley Park Oldbawn,"Tallaght, Dublin 24",01-4149000,www.sdcc.ie,No,Yes,,Yes,,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,,,Esri_Anonymous,2016/02/05 10:39:32+00,"November, December & January – 10.00am - 5.00pm - February & March - 10.00am -6.00pm - April & October - 10.00am - 7.00pm - May & September - 10.00am -8.00pm - June, July & August - 10.00am - 9.00pm",246276.3716
1149,Dodsboro Open Space And Pitches 1-2,Open Space Incorporating Pitches,27,Dodsboro Open Space ," Lucan, Co. Dublin",01-4149000,www.sdcc.ie,No,Yes,,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,Esri_Anonymous,2016/02/05 16:10:58+00,,32354.00045
536,Elkwood Open Space  Pitch 112,Open Space Incorporating Pitches,27,Elkwood Open Space ,"Knocklyon, Dublin 16 ",01-4149000,www.sdcc.ie,No,Yes,,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,Esri_Anonymous,2016/02/05 14:53:49+00,,41597.13209
729,Fettercairn Park & Pitches 72-73-74-75-76-77-78-79-80,Open Space Incorporating Pitches,27,Fettercairn Park,"Fettercairn, Tallaght, Dublin 24",01-4149000,www.sdcc.ie,No,Yes,,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,Esri_Anonymous,2016/02/25 16:24:04+00,,177385.4967
723,Firhouse Community Centre Os And Pitches 106-107,Open Space Incorporating Pitches,27,Firhouse Community Centre Open Space," Firhouse, Tallaght, Dublin 24",01-4149000,www.sdcc.ie,No,Yes,,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,Esri_Anonymous,2016/02/05 15:12:08+00,,114185.5832
1153,Firhouse Village Park,Village park,18,Firhouse Village Park,"Firhouse, Tallaght, Dublin 24",01-4149000,www.sdcc.ie,Yes,Yes,,Yes,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Esri_Anonymous,2016/02/05 13:02:59+00,"November, December & January – 10.00am - 5.00pm - February & March - 10.00am -6.00pm - April & October - 10.00am - 7.00pm - May & September - 10.00am -8.00pm - June, July & August - 10.00am - 9.00pm",2627.098714
744,Glenaulin Park and Pitches 24-25-26-27-28-29-30,Neighbourhood Park,17,Glenaulin Park,"Palmerstown, Dublin 20",01-4149000,www.sdcc.ie,Yes,Yes,,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,Esri_Anonymous,2016/04/04 15:25:07+00,,176471.9256
1175,Glendoher Park,Neighbourhood Park,17,Glendoher Park ,"Rathfarnham, Dublin 16",01-4149000,www.sdcc.ie,No,Yes,,Yes,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Esri_Anonymous,2016/03/01 14:46:54+00,,10949.82296
1151,Glendown Open Space,Open Space,26,Glendown Open Space,"Templeogue, Dublin 6w",01-4149000,www.sdcc.ie,No,Yes,,Yes,,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,,,Esri_Anonymous,2016/02/11 15:59:46+00,,12322.32325
722,Glenlyon Park and Pitch No 108,Open Space Incorporating Pitches,27,Glenlyon Park,"Knocklyon, Dublin 16 ",01-4149000,www.sdcc.ie,No,Yes,,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,Esri_Anonymous,2016/02/05 15:10:17+00,,40986.88687
1247, ,Skate Park,0,Glenshane Skate Park,"Glenshane, Tallaght, Dublin 24 ",01-4149000,www.sdcc.ie,Yes,Yes,,Yes,,No,No,No,No,No,No,No,No,No,No,No,No,No,Esri_Anonymous,2016/02/04 13:15:57+00,Esri_Anonymous,2016/02/11 10:30:57+00,,85.90305116
751,Greenhills Park and Pitches 154-155-164,Neighbourhood Park,17,Greenhills Park,"Greenhills, Walkinstown. Dublin 12",01-4149000,www.sdcc.ie,Yes,Yes,,Yes,,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,,,Esri_Anonymous,2016/03/01 14:47:31+00,,183893.6257
1185,Greentrees Park 8 Acres and Pitches 158-159,Neighbourhood Park,17,Greentrees Park Eight Acres,"Walkinstown, Dublin 12",01-4149000,www.sdcc.ie,Yes,Yes,,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,Esri_Anonymous,2016/03/01 14:47:15+00,,36034.94934
1186,Greentrees Park 5 Acres and Pitch 160,Neighbourhood Park,17,Greentrees Park Five Acres ,"Walkinstown, Dublin 12",01-4149000,www.sdcc.ie,No,Yes,,Yes,,No,No,No,,No,No,No,No,Yes,No,No,No,No,,,Esri_Anonymous,2016/03/01 14:47:20+00,,29078.81347
717,Griffeen Valley Park and Pitches 4-5-6-7-8-9-10-11-12-13-162,Regional Park,16,Griffeen Valley Park,"Lucan, Co. Dublin",01-4149000,www.sdcc.ie,Yes,Yes,,Yes,,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,,,Esri_Anonymous,2016/02/05 16:42:34+00,"November, December & January – 10.00am - 5.00pm - February & March - 10.00am -6.00pm - April & October - 10.00am - 7.00pm - May & September - 10.00am -8.00pm - June, July & August - 10.00am - 9.00pm",424938.7196
1018,Griffeen Valley Park Extension,Regional Park,16,Griffeen Valley Park Extension," Lucan, Co. Dublin",01-4149000,www.sdcc.ie,Yes,Yes,,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,Esri_Anonymous,2016/02/05 12:43:40+00,"November, December & January – 10.00am - 5.00pm - February & March - 10.00am -6.00pm - April & October - 10.00am - 7.00pm - May & September - 10.00am -8.00pm - June, July & August - 10.00am - 9.00pm",102679.1854
1019,Griffeen Valley Park Running Track,Regional Park,16,Griffeen Valley Park Running Park,"Lucan, Co. Dublin",01-4149000,www.sdcc.ie,Yes,Yes,,Yes,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Esri_Anonymous,2016/02/08 16:58:51+00,"November, December & January – 10.00am - 5.00pm - February & March - 10.00am -6.00pm - April & October - 10.00am - 7.00pm - May & September - 10.00am -8.00pm - June, July & August - 10.00am - 9.00pm",31587.13659
1238,Griffeen Valley Park Skate Park ,Skate Park,22,Griffeen Valley Skate Park," Lucan, Co.Dublin",01-4149000,www.sdcc.ie,Yes,Yes,,Yes,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Esri_Anonymous,2016/02/05 10:21:37+00,"November, December & January – 10.00am - 5.00pm - February & March - 10.00am -6.00pm - April & October - 10.00am - 7.00pm - May & September - 10.00am -8.00pm - June, July & August - 10.00am - 9.00pm",559.9742654
695,Hermitage Park and Pitches 17-18-19-20,Neighbourhood Park,17,Hermitage Park,"Lucan, Co. Dublin ",01-4149000,www.sdcc.ie,Yes,Yes,,Yes,,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,,,Esri_Anonymous,2016/03/01 14:48:33+00,,113599.0094
1191,Hillcrest Open Space And Pitch 3,Open Space Incorporating Pitches,27,Hillcrest Open Space ,"Lucan, Co. Dublin ",01-4149000,www.sdcc.ie,No,Yes,,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,Esri_Anonymous,2016/02/11 09:58:26+00,,22804.70838
758,Kennedys Field And Pitch 117,Open Space Incorporating Pitches,27,Kennedy's Field Open Space,Templeogue,01-4149000,www.sdcc.ie,No,Yes,,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,Esri_Anonymous,2016/04/08 10:38:30+00,,40658.25627
662,Killinarden Park and Pitches 81-82-83-84-85,Neighbourhood Park,17,Killinarden Park,"Tallaght, Dublin 24",01-4149000,www.sdcc.ie,No,Yes,,Yes,,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,,,Esri_Anonymous,2016/03/01 14:45:29+00,,189426.2898
791,Kilnamanagh Park And Pitches 121-122-123-124,Open Space Incorporating Pitches,27,Kilnamanagh Park,"Tallaght, Dublin 24 ",01-4149000,www.sdcc.ie,No,Yes,,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,Esri_Anonymous,2016/02/05 14:42:11+00,,168444.9822
778,Kiltalown Park,Neighbourhood Park,17,Kiltalown Park,"Jobstown, Tallaght, Dublin 24",01-4149000,www.sdcc.ie,No,Yes,,Yes,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,Esri_Anonymous,2016/03/01 14:45:23+00,,57965.6437
1155,Kiltipper Park,Regional Park,16,Kiltipper Park ,"Tallaght, Dublin 24",01-4149000,www.sdcc.ie,No,Yes,,Yes,,No,No,No,No,No,Yes,No,No,No,No,No,No,,,,Esri_Anonymous,2016/02/05 10:40:48+00,"November, December & January – 10.00am - 5.00pm - February & March - 10.00am -6.00pm - April & October - 10.00am - 7.00pm - May & September - 10.00am -8.00pm - June, July & August - 10.00am - 9.00pm",467451.1233
1190,Kingswood Open Space And Pitch 92,Open Space Incorporating Pitches,27,Kingswood Open Space,"Tallaght, Dublin 24",01-4149000,www.sdcc.ie,No,Yes,,Yes,,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,,,Esri_Anonymous,2016/02/11 15:57:05+00,,40351.46244
721,Knocklyon Park And Pitches 109-110,Neighbourhood Park,17,Knocklyon Park,"Ballycullen, Knocklyon, Dublin 16",01-4149000,www.sdcc.ie,Yes,Yes,,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,Esri_Anonymous,2016/03/01 14:46:46+00,,95090.25208
1023,Letts Field and Pitch 35,Open Space Incorporating Pitches,27,Letts Field Open Space ,"Clondalkin, Dublin 22 ",01-4149000,www.sdcc.ie,No,Yes,,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,Esri_Anonymous,2016/02/05 16:01:04+00,,25931.18935
788,Liffey Valley Park Mill Lane Pitch No. 21  22,Open Space Incorporating Pitches,27,Liffey Valley Park Mill Lane,"Palmerstown, Dublin 20",01-4149000,www.sdcc.ie,No,Yes,,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,Esri_Anonymous,2016/02/12 13:13:22+00,,139975.2556
1647, ,Regional Park,0,Lucan Demese," Lucan, Co.Dublin",01-4149000,www.sdcc.ie,Yes,Yes,,Yes,,No,No,No,Yes,No,No,,No,No,No,No,No,No,Esri_Anonymous,2016/02/05 16:37:41+00,Esri_Anonymous,2016/02/08 16:57:53+00,"November, December & January – 10.00am - 5.00pm - February & March - 10.00am -6.00pm - April & October - 10.00am - 7.00pm - May & September - 10.00am -8.00pm - June, July & August - 10.00am - 9.00pm",102430.9279
1152,Lucan Village Park,Village park,18,Lucan Village Park," Lucan, Co. Dublin",01-4149000,www.sdcc.ie,No,Yes,,Yes,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Esri_Anonymous,2016/02/08 16:58:24+00,"November, December & January – 10.00am - 5.00pm - February & March - 10.00am -6.00pm - April & October - 10.00am - 7.00pm - May & September - 10.00am -8.00pm - June, July & August - 10.00am - 9.00pm",1847.885008
696,Lucan Weir,Open Space,26,Lucan Weir Open Space,"Lucan, Co. Dublin ",01-4149000,www.sdcc.ie,No,Yes,,Yes,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Esri_Anonymous,2016/02/05 16:07:20+00,,3444.17104
731,Old Bawn Park Bradys Field and Pitch 91,Open Space Incorporating Pitches,27,Old Bawn Park Brady's Field,"Oldbawn, Tallaght, Dublin 24",01-4149000,www.sdcc.ie,No,Yes,,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,Esri_Anonymous,2016/02/05 14:39:54+00,,19550.94645
660,Quarryvale Park and Pitch 23,Neighbourhood Park,17,Quarryvale Park ,"Clondalkin, Dublin 22",01-4149000,www.sdcc.ie,Yes,Yes,,Yes,,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,,,Esri_Anonymous,2016/03/01 14:48:28+00,,69619.99099
112,Rathcoole Park and Pitches 64-65-66,Neighbourhood Park,17,Rathcoole Park,"Rathcoole, Co. Dublin ",01-4149000,www.sdcc.ie,No,Yes,,Yes,,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,,,Esri_Anonymous,2016/03/01 14:45:17+00,,143498.433
794,Rathfarnham Castle,Neighbourhood Park,17,Rathfarnham Castle Park,"Rathfarnham, Dublin 14",01-4149000,www.sdcc.ie,Yes,Yes,,Yes,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,Esri_Anonymous,2016/03/01 14:47:01+00,,59943.3105
664,Saint Cuthbert's Park,Neighbourhood Park,17,Saint Cutbert's Park,"Clondalkin, Dublin 22",01-4149000,www.sdcc.ie,No,Yes,,Yes,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Esri_Anonymous,2016/03/01 14:47:59+00,,144519.1464
670,Sean Walsh Park,Neighbourhood Park,17,Sean Walsh Park,"Tallaght, Dublin 24",01-4149000,www.sdcc.ie,Yes,Yes,,Yes,,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,,,Esri_Anonymous,2016/03/01 14:46:20+00,,291570.5097
1165,Tallaght Stadium,Neighbourhood Park,17,Tallaght Stadium ,"Tallaght, Dublin 24",01-4149000,www.sdcc.ie,Yes,Yes,,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,,,,Esri_Anonymous,2016/02/05 10:40:23+00,,41928.57545
624,The Green Boden Park,Open Space,26,The Green Boden Park," Rathfarnham, Dublin 14",01-4149000,www.sdcc.ie,No,Yes,,Yes,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Esri_Anonymous,2016/02/05 14:56:06+00,,29020.87904
1146,Tymonville Open Space and Pitch 120,Open Space Incorporating Pitches,27,Tymon Open Space,"Tallaght, Dublin 24",01-4149000,www.sdcc.ie,No,Yes,,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,Esri_Anonymous,2016/02/05 15:12:49+00,,17239.37571
702,Tymon Park East and Pitches 151-152-153,Regional Park,16,Tymon Park East,"Tallaght, Dublin 24",01-4149000,www.sdcc.ie,Yes,Yes,,Yes,,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,,,Esri_Anonymous,2016/02/11 15:48:43+00,"November, December & January – 10.00am - 5.00pm - February & March - 10.00am -6.00pm - April & October - 10.00am - 7.00pm - May & September - 10.00am -8.00pm - June, July & August - 10.00am - 9.00pm",669309.0798
703,Tymon Park West and Pitches 125-126-127-128-129-130-131-132-133-134-135-136-137-138-139-140-141-142-143-144-145-146-147-148-149-150,Regional Park,16,Tymon Park West,Templeogue,01-4149000,www.sdcc.ie,Yes,Yes,,Yes,,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,,,Esri_Anonymous,2016/04/08 10:35:24+00,"November, December & January – 10.00am - 5.00pm - February & March - 10.00am -6.00pm - April & October - 10.00am - 7.00pm - May & September - 10.00am -8.00pm - June, July & August - 10.00am - 9.00pm",984215.5212
1202,Vesey Park,Neighbourhood Park,17,Vessy Park,"Lucan, Co. Dublin",01-4149000,www.sdcc.ie,No,Yes,,Yes,,No,No,No,No,No,No,No,No,No,No,No,No,,,,Esri_Anonymous,2016/03/01 14:48:47+00,,193905.3868
688,Waterstown Park,Neighbourhood Park,17,Waterstown Park,"Palmerstown, Dublin 20",01-4149000,www.sdcc.ie,Yes,Yes,,Yes,,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,,Esri_Anonymous,2016/03/01 14:48:23+00,,479932.3445
1188,Whitechurch Open Space And Pitch No 111,Open Space Incorporating Pitches,27,Whitechurch Open Space,"Rathfarnham, Dublin 16",01-4149000,www.sdcc.ie,No,Yes,,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,Esri_Anonymous,2016/02/11 14:42:43+00,,19714.65467
697,Willsbrook Park and Pitch 16,Neighbourhood Park,17,Willsbrook Park ,"Lucan, Co. Dublin",01-4149000,www.sdcc.ie,No,Yes,,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,Esri_Anonymous,2016/03/01 14:48:42+00,,69310.84737
735,Woodlawn Park,Neighbourhood Park,17,Woodlawn Park," Firhouse, Tallaght, Dublin 24",01-4149000,www.sdcc.ie,Yes,Yes,,Yes,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Esri_Anonymous,2016/02/05 13:06:34+00,"November, December & January – 10.00am - 5.00pm - February & March - 10.00am -6.00pm - April & October - 10.00am - 7.00pm - May & September - 10.00am -8.00pm - June, July & August - 10.00am - 9.00pm",82984.2765
1189,Yellow Meadow/Monksfield Open Space And Pitches 44-45-46,Open Space Incorporating Pitches,27,Yellow Meadow/Monksfield Open Space,"Clondalkin, Dublin 22",01-4149000,www.sdcc.ie,No,Yes,,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,Esri_Anonymous,2016/02/05 15:16:26+00,,143971.7895
